,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
677,MSFT,2020-04-21 00:00:00+00:00,167.82,173.67,166.11,173.5,56203749,164.38689399950002,170.11722012209998,162.7118755944,169.9506978245,56203749,0.0,1.0
678,MSFT,2020-04-22 00:00:00+00:00,173.52,174.0,170.82,171.39,34651604,169.97028868299998,170.440469288,167.32552278030002,167.8838622486,34651604,0.0,1.0
679,MSFT,2020-04-23 00:00:00+00:00,171.42,175.06,170.91,174.11,32790804,167.9132485364,171.4787847905,167.41368164370002,170.5482190099,32790804,0.0,1.0
680,MSFT,2020-04-24 00:00:00+00:00,174.55,174.56,170.71,172.06,34305320,170.9792178978,170.989013327,167.2177730583,168.54015600969998,34305320,0.0,1.0
681,MSFT,2020-04-27 00:00:00+00:00,174.05,176.9,173.3,176.59,33194384,170.4894464343,173.2811437761,169.7547892391,172.9774854687,33194384,0.0,1.0
682,MSFT,2020-04-28 00:00:00+00:00,169.81,175.67,169.39,175.59,34392694,166.3361844241,172.0763059759,165.9247763948,171.9979425418,34392694,0.0,1.0
683,MSFT,2020-04-29 00:00:00+00:00,177.43,177.68,171.88,173.22,51286559,173.80030152740002,174.0451872591,168.3638382828,169.6764258049,51286559,0.0,1.0
684,MSFT,2020-04-30 00:00:00+00:00,179.21,180.4,176.23,180.0,53875857,175.54388793729998,176.70954402040002,172.624850015,176.31772684959998,53875857,0.0,1.0
685,MSFT,2020-05-01 00:00:00+00:00,174.57,178.64,174.01,175.8,39370474,170.99880875629998,174.985548469,170.45026471719999,172.20364655650002,39370474,0.0,1.0
686,MSFT,2020-05-04 00:00:00+00:00,178.84,179.0,173.8,174.49,30372862,175.1814570544,175.3381839227,170.2445607026,170.92044532219998,30372862,0.0,1.0
687,MSFT,2020-05-05 00:00:00+00:00,180.76,183.65,179.9,180.62,36839168,177.0621794741,179.8930585329,176.21977255689998,176.9250434643,36839168,0.0,1.0
688,MSFT,2020-05-06 00:00:00+00:00,182.54,184.2,181.63,182.08,32139299,178.805765884,180.43180714279998,177.91438182049998,178.35517613759998,32139299,0.0,1.0
689,MSFT,2020-05-07 00:00:00+00:00,183.6,184.55,182.58,184.17,28315992,179.8440813866,180.77464716720002,178.84494760110002,180.402420855,28315992,0.0,1.0
690,MSFT,2020-05-08 00:00:00+00:00,184.68,185.0,183.36,184.98,30912638,180.9019877477,181.21544148430002,179.6089910841,181.1958506258,30912638,0.0,1.0
691,MSFT,2020-05-11 00:00:00+00:00,186.74,187.51,182.85,183.15,30892660,182.91984617720001,183.6740942309,179.1094241914,179.4032870695,30892660,0.0,1.0
692,MSFT,2020-05-12 00:00:00+00:00,182.51,187.04,182.3,186.8,32038199,178.7763795962,183.2137090553,178.5706755816,182.97861875279997,32038199,0.0,1.0
693,MSFT,2020-05-13 00:00:00+00:00,179.75,184.05,176.54,182.55,44711488,176.0728411179,180.28487570369998,172.9285083224,178.8155613133,44711488,0.0,1.0
694,MSFT,2020-05-14 00:00:00+00:00,180.53,180.69,175.68,177.54,41873911,176.8368846009,176.99361146919998,172.0861014052,173.9080512493,41873911,0.0,1.0
695,MSFT,2020-05-15 00:00:00+00:00,183.16,187.06,177.0,179.06,46610382,179.4130824987,183.2332999138,173.3790980688,175.39695649830003,46610382,0.0,1.0
696,MSFT,2020-05-18 00:00:00+00:00,184.91,186.2,183.96,185.75,35306620,181.1272826209,182.3908929967,180.19671684029998,181.9500986795,35306620,0.0,1.0
697,MSFT,2020-05-19 00:00:00+00:00,183.63,186.6,183.49,185.03,26799116,179.8734676744,182.7827101674,179.7363316646,181.2448277721,26799116,0.0,1.0
698,MSFT,2020-05-20 00:00:00+00:00,185.66,185.85,183.94,184.81,31261334,182.36150670880002,182.54813110979998,180.67206476369998,181.5266080732,31261334,0.51,1.0
699,MSFT,2020-05-21 00:00:00+00:00,183.43,186.67,183.29,185.4,29032741,180.1711255823,183.3535627348,180.03361286580002,182.10612594970002,29032741,0.0,1.0
700,MSFT,2020-05-22 00:00:00+00:00,183.51,184.46,182.54,183.19,20826898,180.2497042774,181.182826282,179.29693759900002,179.93538949689997,20826898,0.0,1.0
701,MSFT,2020-05-26 00:00:00+00:00,181.57,186.5,181.1,186.34,36073609,178.34417092060002,183.18658300759998,177.8825210868,183.02942561740002,36073609,0.0,1.0
702,MSFT,2020-05-27 00:00:00+00:00,181.81,181.99,176.6,180.2,39517146,178.57990700599998,178.75670907,173.46246948610002,176.9985107666,39517146,0.0,1.0
703,MSFT,2020-05-28 00:00:00+00:00,181.4,184.15,180.38,180.74,33831824,178.1771911935,180.8783338384,177.1753128307,177.5289169587,33831824,0.0,1.0
704,MSFT,2020-05-29 00:00:00+00:00,183.25,184.27,180.41,182.73,42146720,179.9943235182,180.9962018811,177.20477984130002,179.48356199990002,42146720,0.0,1.0
705,MSFT,2020-06-01 00:00:00+00:00,182.83,183.0,181.46,182.54,22668821,179.5817853688,179.74876509599997,178.23612521479998,179.29693759900002,22668821,0.0,1.0
706,MSFT,2020-06-02 00:00:00+00:00,184.91,185.0,181.35,184.25,30794585,181.6248314421,181.7132324741,178.128079509,180.9765572073,30794585,0.0,1.0
707,MSFT,2020-06-03 00:00:00+00:00,185.36,185.94,183.58,184.82,27311016,182.06683660209998,182.6365321418,180.31846063560002,181.53643041,27311016,0.0,1.0
708,MSFT,2020-06-04 00:00:00+00:00,182.92,185.84,182.3,184.3,28761809,179.67018640080002,182.5383087729,179.0612015136,181.02566889169998,28761809,0.0,1.0
709,MSFT,2020-06-05 00:00:00+00:00,187.2,187.73,182.01,182.62,39893643,183.87414659,184.3947304452,178.7763537438,179.3755162941,39893643,0.0,1.0
710,MSFT,2020-06-08 00:00:00+00:00,188.36,188.55,184.44,185.94,33211590,185.0135376693,185.2001620702,181.1631816082,182.6365321418,33211590,0.0,1.0
711,MSFT,2020-06-09 00:00:00+00:00,189.8,190.7,187.26,188.0,29783916,186.4279541815,187.31196450169998,183.9330806113,184.6599335412,29783916,0.0,1.0
712,MSFT,2020-06-10 00:00:00+00:00,196.84,198.52,191.01,191.13,43872329,193.34287935240002,194.99303195,187.6164569453,187.7343249879,43872329,0.0,1.0
713,MSFT,2020-06-11 00:00:00+00:00,186.27,195.76,186.07,193.13,52854672,182.9606692592,192.28206696819998,182.7642225214,189.698792366,52854672,0.0,1.0
714,MSFT,2020-06-12 00:00:00+00:00,187.74,191.72,185.18,190.54,43373587,184.40455278209998,188.3138428645,181.89003453810002,187.1548071114,43373587,0.0,1.0
715,MSFT,2020-06-15 00:00:00+00:00,188.94,190.82,184.01,184.58,32770189,185.5832332089,187.4298325443,180.74082112189998,181.3006943247,32770189,0.0,1.0
716,MSFT,2020-06-16 00:00:00+00:00,193.57,195.58,191.46,192.89,42556656,190.13097518919997,192.10526490419997,188.05846210529998,189.4630562807,42556656,0.0,1.0
717,MSFT,2020-06-17 00:00:00+00:00,194.24,196.32,193.69,195.03,25687822,190.78907176090001,192.8321178341,190.2488432319,191.5650363752,25687822,0.0,1.0
718,MSFT,2020-06-18 00:00:00+00:00,196.32,196.49,194.0,194.0,23061648,192.8321178341,192.9990975612,190.5533356755,190.5533356755,23061648,0.0,1.0
719,MSFT,2020-06-19 00:00:00+00:00,195.15,199.29,194.37,198.59,44441141,191.6829044179,195.74935189060002,190.9167621405,195.0617883082,44441141,0.0,1.0
720,MSFT,2020-06-22 00:00:00+00:00,200.57,200.76,195.23,195.79,32818929,197.0066110126,197.1932354135,191.761483113,192.3115339789,32818929,0.0,1.0
721,MSFT,2020-06-23 00:00:00+00:00,201.91,203.95,201.43,202.09,30917447,198.3228041559,200.32656088150003,197.8513319851,198.49960621990002,30917447,0.0,1.0
722,MSFT,2020-06-24 00:00:00+00:00,197.84,203.25,196.56,201.6,36740647,194.3251130415,199.63899729919999,193.0678539195,198.0183117123,36740647,0.0,1.0
723,MSFT,2020-06-25 00:00:00+00:00,200.34,200.61,195.47,197.8,27803933,196.78069726409998,197.04590036009998,191.9972191984,194.2858236939,27803933,0.0,1.0
724,MSFT,2020-06-26 00:00:00+00:00,196.33,199.89,194.88,199.73,54675780,192.84194017099998,196.33869210400002,191.41770132189998,196.1815347138,54675780,0.0,1.0
725,MSFT,2020-06-29 00:00:00+00:00,198.44,198.53,193.55,195.78,26701586,194.91445325490002,195.00285428689998,190.1113305154,192.30171164200001,26701586,0.0,1.0
726,MSFT,2020-06-30 00:00:00+00:00,203.51,204.4,197.74,197.88,34310283,199.8943780584,200.7685660416,194.22688967259998,194.36440238900002,34310283,0.0,1.0
727,MSFT,2020-07-01 00:00:00+00:00,204.7,206.35,201.77,203.14,32071431,201.0632361483,202.68392173529998,198.18529143939998,199.5309515934,32071431,0.0,1.0
728,MSFT,2020-07-02 00:00:00+00:00,206.26,208.02,205.0,205.68,29322547,202.59552070330002,204.324251996,201.35790625509998,202.02582516360002,29322547,0.0,1.0
729,MSFT,2020-07-06 00:00:00+00:00,210.7,211.13,208.09,208.83,32033747,206.95663828259998,207.3789987689,204.3930083542,205.1198612841,32033747,0.0,1.0
730,MSFT,2020-07-07 00:00:00+00:00,208.25,214.67,207.99,210.45,33600749,204.55016574450002,210.8561060282,204.2947849853,206.71107986040002,33600749,0.0,1.0
731,MSFT,2020-07-08 00:00:00+00:00,212.83,213.26,208.69,210.07,33602226,209.04879604029998,209.4711565266,204.98234856759998,206.33783105849997,33602226,0.0,1.0
732,MSFT,2020-07-09 00:00:00+00:00,214.32,216.38,211.47,216.33,33122280,210.512324237,212.5357256364,207.7129582232,212.486613952,33122280,0.0,1.0
733,MSFT,2020-07-10 00:00:00+00:00,213.67,214.08,211.08,213.62,26178663,209.8738723391,210.2765881516,207.3298870845,209.82476065470001,26178663,0.0,1.0
734,MSFT,2020-07-13 00:00:00+00:00,207.07,215.8,206.5,214.48,38135816,203.3911299914,211.9660300968,202.8312567886,210.6694816272,38135816,0.0,1.0
735,MSFT,2020-07-14 00:00:00+00:00,208.35,208.85,202.03,206.13,37598121,204.64838911340001,205.1395059579,198.4406721986,202.46783032369999,37598121,0.0,1.0
736,MSFT,2020-07-15 00:00:00+00:00,208.04,211.33,205.03,209.56,32248893,204.3438966698,207.5754455067,201.3873732657,205.8368918771,32248893,0.0,1.0
737,MSFT,2020-07-16 00:00:00+00:00,203.92,205.7,202.31,205.4,29940718,200.2970938709,202.04546983740002,198.7156976315,201.7507997307,29940718,0.0,1.0
738,MSFT,2020-07-17 00:00:00+00:00,202.88,205.04,201.39,204.47,31636070,199.2755708343,201.3971956026,197.81204263759997,200.83732239990002,31636070,0.0,1.0
739,MSFT,2020-07-20 00:00:00+00:00,211.6,212.3,203.01,205.0,36386080,207.8406486028,208.5282121851,199.40326121380002,201.35790625509998,36386080,0.0,1.0
740,MSFT,2020-07-21 00:00:00+00:00,208.75,213.94,208.03,213.66,37702523,205.04128258900002,210.13907543509998,204.3340743329,209.8640500022,37702523,0.0,1.0
741,MSFT,2020-07-22 00:00:00+00:00,211.75,212.3,208.39,209.2,49605692,207.9879836561,208.5282121851,204.6876784609,205.4832877491,49605692,0.0,1.0
742,MSFT,2020-07-23 00:00:00+00:00,202.54,210.92,202.15,207.19,67457035,198.94161138,207.17272969419997,198.55854024130002,203.5089980341,67457035,0.0,1.0
743,MSFT,2020-07-24 00:00:00+00:00,201.3,202.86,197.51,200.42,39826989,197.72364160560002,199.2559261605,194.0009759241,196.85927595919998,39826989,0.0,1.0
744,MSFT,2020-07-27 00:00:00+00:00,203.85,203.97,200.86,201.47,30160867,200.22833751259998,200.34620555529997,197.2914587824,197.8906213327,30160867,0.0,1.0
745,MSFT,2020-07-28 00:00:00+00:00,202.02,204.7,201.74,203.61,23251388,198.43084986169998,201.0632361483,198.1558244288,199.9926014273,23251388,0.0,1.0
746,MSFT,2020-07-29 00:00:00+00:00,204.06,204.65,202.01,202.5,19632602,200.43460658729998,201.0141244639,198.4210275248,198.9023220324,19632602,0.0,1.0
747,MSFT,2020-07-30 00:00:00+00:00,203.9,204.46,199.57,201.0,25079596,200.2774491971,200.827500063,196.02437732349998,197.42897149889998,25079596,0.0,1.0
748,MSFT,2020-07-31 00:00:00+00:00,205.01,205.1,199.01,204.4,51247969,201.36772859189998,201.45612962400003,195.47432645759997,200.7685660416,51247969,0.0,1.0
749,MSFT,2020-08-03 00:00:00+00:00,216.54,217.64,210.44,211.52,78983009,212.69288302669997,213.7733400846,206.70125752349998,207.7620699076,78983009,0.0,1.0
750,MSFT,2020-08-04 00:00:00+00:00,213.29,214.77,210.31,214.17,49280056,209.5006235373,210.9543293971,206.5735671439,210.36498918360002,49280056,0.0,1.0
751,MSFT,2020-08-05 00:00:00+00:00,212.94,215.0,211.57,214.9,28858621,209.1568417461,211.1802431455,207.81118159209998,211.0820197766,28858621,0.0,1.0
752,MSFT,2020-08-06 00:00:00+00:00,216.35,216.3705,211.55,212.34,32656843,212.50625862580003,212.5263944164,207.7915369183,208.5675015327,32656843,0.0,1.0
753,MSFT,2020-08-07 00:00:00+00:00,212.48,215.7,210.93,214.85,27820421,208.7050142491,211.86780672790002,207.18255203110002,211.03290809220002,27820421,0.0,1.0
754,MSFT,2020-08-10 00:00:00+00:00,208.25,211.88,206.35,211.67,36716462,204.55016574450002,208.1156740357,202.68392173529998,207.90940496099998,36716462,0.0,1.0
